record_id,reported_date,brand,sector,action_type,campaign_or_action,primary_objective,occasion_context,geography_focus,celebrity_or_creator,talent_used,primary_channel,creative_strategy,ai_data_angle,funnel_stage,source_publication,source_url,coding_confidence,notes,occasion_flag,regional_localization,month,week_start,sector_group,reported_month,lower_funnel_flag,talent_label,occasion_label
ICG-071,2026-08-26,River,Electric Mobility,Brand Film,Made for Makers,Position the Indie around independent professionals and creators,,India,Independent professionals / makers,1,Film,Craft-led maker identity,0,Awareness,Campaign India,https://www.campaignindia.in/latest/new-campaigns,High,,0,0,2026-08,2026-08-26,Automotive & Mobility,2026-08,0,Named talent used,Not occasion-linked
ICG-072,2026-08-26,Story TV,Media / Entertainment,AI Content Campaign,The Bose Network,Use AI-integrated production to recreate a historical escape story as micro-drama,,India,None stated,0,Short-form / Digital,History + AI-assisted storytelling,1,Engagement,Campaign India,https://www.campaignindia.in/latest/new-campaigns,High,,0,0,2026-08,2026-08-26,Technology & Electronics,2026-08,0,No named talent stated,Not occasion-linked
ICG-073,2026-08-26,ENO,FMCG - Digestive Care,Regional Film Campaign,Broader acidity symptom platform,Expand the category frame by linking multiple digestive discomforts with acidity,,India / Regional,None stated,0,Regional Films,Category education + symptom expansion,0,Consideration,Campaign India,https://www.campaignindia.in/latest/new-campaigns,High,,0,1,2026-08,2026-08-26,FMCG / Food & Beverage,2026-08,0,No named talent stated,Not occasion-linked
ICG-074,2026-08-27,Nykaa Now,Quick Beauty Commerce,Service Proposition Campaign,30-minute beauty delivery campaign,Make rapid beauty delivery salient through an urgent beauty scenario,,India,Sharvari; Sheeba Chaddha,1,Film / Digital,Time pressure + mother-daughter humour,0,Conversion,Campaign India,https://www.campaignindia.in/latest,High,,0,0,2026-08,2026-08-27,Beauty & Personal Care,2026-08,1,Named talent used,Not occasion-linked
ICG-075,2026-08-27,D'Decor,Home Furnishings,Celebrity Campaign,Personalised bedrooms campaign,"Highlight design choice, individuality and softness",,India,Kartik Aaryan; Ananya Panday,1,Film / Integrated,Celebrity pair + personalization,0,Consideration,Campaign India,https://www.campaignindia.in/latest,High,,0,0,2026-08,2026-08-27,"Lifestyle, Home & Fashion",2026-08,0,Named talent used,Not occasion-linked
ICG-076,2026-08-27,Borosil,Kitchenware,Branded Content,Kitchen Connection episode,Blend personal kitchen storytelling with functional product/design relevance,,India,Chef Harpal Singh Sokhi,1,Digital Content,Expert-led personal storytelling,0,Consideration,Campaign India,https://www.campaignindia.in/latest,High,,0,0,2026-08,2026-08-27,"Lifestyle, Home & Fashion",2026-08,0,Named talent used,Not occasion-linked
ICG-077,2026-08-27,Eureka Forbes,Home Appliances,D2C Service Campaign,Four-hour delivery-installation-exchange promise,Differentiate D2C purchase through service speed and convenience,,India,None stated,0,D2C / Digital,Operational promise as marketing proposition,0,Conversion,Campaign India,https://www.campaignindia.in/latest,High,,0,0,2026-08,2026-08-27,"Lifestyle, Home & Fashion",2026-08,1,No named talent stated,Not occasion-linked
ICG-078,2026-08-27,Titan Raga,Fashion / Watches,Purpose-led Celebrity Campaign,Your Way Is Beautiful,Reframe judgement as an opportunity for women to assert themselves,,India,Alia Bhatt,1,Film / Integrated,Empowerment + celebrity,0,Awareness,Campaign India,https://www.campaignindia.in/latest,High,,0,0,2026-08,2026-08-27,"Lifestyle, Home & Fashion",2026-08,0,Named talent used,Not occasion-linked
ICG-079,2026-08-27,HDFC Bank,Banking,Fraud Awareness Series,Vigil Aunty comedy series,Promote safer digital transactions through entertainment-led education,Cyber safety,India,Stand-up comedians,1,Digital / Video,Comedy + financial education,0,Awareness,Campaign India,https://www.campaignindia.in/latest,High,,1,0,2026-08,2026-08-27,Financial Services,2026-08,0,Named talent used,Occasion-linked
ICG-080,2026-08-28,Hyundai Motor India + Radio Mirchi,Automotive,Data-led Utility Initiative,Traffic Quality Index,Create a seven-city traffic information utility using live data and radio intelligence,,7 Indian cities,Radio Mirchi presenters / data inputs,1,Radio / Data,Branded utility + live data,1,Engagement,Campaign India,https://www.campaignindia.in/latest,High,,0,1,2026-08,2026-08-28,Automotive & Mobility,2026-08,0,Named talent used,Not occasion-linked
ICG-081,2026-08-28,CDSL IPF + Amar Chitra Katha,Financial Education,Educational Content Campaign,Animated investing film,Simplify financial planning using familiar Indian characters and multilingual storytelling,Investor education,India,Akbar and Birbal characters,1,Animation / Digital,Edutainment + cultural familiarity,0,Awareness,Campaign India,https://www.campaignindia.in/latest,High,,1,0,2026-08,2026-08-28,Financial Services,2026-08,0,Named talent used,Occasion-linked
ICG-082,2026-08-29,Killer Jeans,Fashion,Brand Campaign,Genes of India,Use denim and regional diversity to explore contemporary Indian identity,,India,None stated,0,Integrated,Regional diversity + identity,0,Awareness,Campaign India,https://www.campaignindia.in/latest,High,,0,0,2026-08,2026-08-29,"Lifestyle, Home & Fashion",2026-08,0,No named talent stated,Not occasion-linked
ICG-083,2026-08-29,Renaissance Goa,Hospitality,Celebrity Destination Campaign,Discovery-led Goa campaign,"Showcase design, food and evening experiences through a celebrity lens",,Goa,Janhvi Kapoor,1,Digital / Integrated,Celebrity discovery journey,0,Consideration,Campaign India,https://www.campaignindia.in/latest,High,,0,1,2026-08,2026-08-29,Travel & Hospitality,2026-08,0,Named talent used,Not occasion-linked
ICG-084,2026-08-29,Medanta,Healthcare,Public Health Campaign,Taalo Mat Pehchaano,Encourage earlier recognition of oral-cancer signs using a mnemonic and 2-week rule,Oral cancer awareness,India,None stated,0,Integrated / On-ground,Mnemonic + behavioural prompt,0,Awareness,Campaign India,https://www.campaignindia.in/latest,High,,1,0,2026-08,2026-08-29,Healthcare,2026-08,0,No named talent stated,Occasion-linked
ICG-085,2026-08-29,Parle Monaco,FMCG - Snacks,Music Campaign,Sada Salty Raho anthem extension,Move an individuality-led platform into culture and music,,India,Orry; Chaar Diwari; The Siege,1,Music / Digital,Culture + music + personalities,0,Engagement,Campaign India,https://www.campaignindia.in/latest,High,,0,0,2026-08,2026-08-29,FMCG / Food & Beverage,2026-08,0,Named talent used,Not occasion-linked
ICG-086,2026-08-29,Flipkart + Netflix,E-commerce / Streaming,OOH Activation,Window-watching activation,Turn neighbours' windows into a humorous prompt for an entertainment benefit,,India,None stated,0,OOH,Contextual outdoor + entertainment partnership,0,Awareness,Campaign India,https://www.campaignindia.in/latest,High,,0,0,2026-08,2026-08-29,Retail & Commerce,2026-08,0,No named talent stated,Not occasion-linked
ICG-087,2026-08-29,The Healthy Binge,FMCG - Snacks,First Brand Film,Taste Ka Naya Language,Use the instinctive sound of enjoyment as a taste cue,,India,None stated,0,Film / Digital,Sensory mnemonic,0,Awareness,Campaign India,https://www.campaignindia.in/latest,High,,0,0,2026-08,2026-08-29,FMCG / Food & Beverage,2026-08,0,No named talent stated,Not occasion-linked
ICG-088,2026-08-29,Philips India,Personal Care Electronics,Brand Ambassador,Men's grooming partnership with Yash,Scale grooming relevance from organic fandom into a formal brand partnership,,India,Yash,1,Integrated,Organic-fan-to-ambassador conversion,0,Awareness,Campaign India,https://www.campaignindia.in/latest,High,,0,0,2026-08,2026-08-29,Beauty & Personal Care,2026-08,0,Named talent used,Not occasion-linked
ICG-089,2026-08-29,Swiggy Instamart + HPCL + Digene,Quick Commerce,OOH Collaboration,Gas problem billboard,Use a double-meaning product pairing to demonstrate assortment breadth,,Bengaluru,None stated,0,OOH,Wordplay + cross-brand product juxtaposition,0,Awareness,Campaign India,https://www.campaignindia.in/latest,High,,0,1,2026-08,2026-08-29,Retail & Commerce,2026-08,0,No named talent stated,Not occasion-linked
ICG-090,2026-08-29,Star Health Insurance,Insurance,OOH Campaign,Billboard backs campaign,Use the reverse side of billboards to dramatize dependable support,,India,None stated,0,OOH,Media-format hack + brand promise,0,Awareness,Campaign India,https://www.campaignindia.in/latest,High,,0,0,2026-08,2026-08-29,Financial Services,2026-08,0,No named talent stated,Not occasion-linked
ICG-091,2026-08-29,Pizza Hut India,QSR,Product Launch Campaign,Triple Spice range,Launch a fiery product line with global spice profiles and an airline-themed film,,India,None stated,0,Film / Integrated,Novel product + travel/airline creative device,0,Conversion,Campaign India,https://www.campaignindia.in/latest,High,,0,0,2026-08,2026-08-29,FMCG / Food & Beverage,2026-08,1,No named talent stated,Not occasion-linked
